location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8790,APARTMENT,APARTMENT,174712,1,70,1,0,0,1,2,0,,,,0,
9660,HOUSE,HOUSE,291000,3,142,1,0,0,0,,1,,339,,0,
1701,APARTMENT,APARTMENT,275000,3,104,0,0,0,0,,0,,,,0,
1030,APARTMENT,APARTMENT,210000,1,56,1,0,0,1,5,0,,,2,0,AS_NEW
4000,APARTMENT,GROUND_FLOOR,259000,2,124,1,0,0,1,23,1,20,,3,0,GOOD
2870,HOUSE,HOUSE,220000,3,181,0,0,0,0,,1,113,244,3,0,TO_RENOVATE
5000,HOUSE,HOUSE,325000,3,173,1,0,0,1,,0,,425,3,0,AS_NEW
9000,APARTMENT,APARTMENT,149000,2,60,0,1,0,0,,0,,,2,0,GOOD
3118,APARTMENT,LOFT,350000,2,164,1,1,0,1,,0,,,4,0,AS_NEW
7370,HOUSE,HOUSE,155000,5,200,1,0,0,1,,0,,465,3,0,TO_BE_DONE_UP
6180,APARTMENT,APARTMENT,129000,2,135,0,0,0,0,,0,,,,0,AS_NEW
8430,APARTMENT,APARTMENT,145000,2,,0,0,0,0,,0,,,,0,
1410,APARTMENT,APARTMENT,325000,2,100,1,0,0,1,,0,,,2,0,AS_NEW
8600,HOUSE,HOUSE,339000,4,170,1,0,0,0,,1,387,489,3,0,
9600,HOUSE,HOUSE,320000,5,,1,0,0,1,,0,,242,2,0,GOOD
8430,APARTMENT,PENTHOUSE,1450000,3,248,1,0,0,1,276,0,,,,0,AS_NEW
5580,HOUSE,HOUSE,169000,3,120,1,0,0,1,20,1,287,287,2,0,GOOD
8600,HOUSE,HOUSE,295000,3,141,0,0,0,1,,1,,322,,0,JUST_RENOVATED
9000,HOUSE,MANSION,615000,4,207,0,0,0,0,,0,,105,,0,AS_NEW
1083,APARTMENT,APARTMENT,139000,1,55,1,0,0,1,13,0,,,,0,TO_BE_DONE_UP
2930,HOUSE,VILLA,1398000,5,638,1,0,0,0,,0,,1519,4,0,AS_NEW
1090,APARTMENT,APARTMENT,340000,3,,1,0,0,1,1,0,,,3,0,AS_NEW
6600,HOUSE,HOUSE,400000,5,,1,0,0,1,60,1,,1252,4,0,
1400,APARTMENT,APARTMENT,275000,1,92,1,0,0,1,17,1,73,,2,0,
2610,APARTMENT,APARTMENT,239000,2,100,1,0,0,0,,1,,,2,0,GOOD
8430,APARTMENT,GROUND_FLOOR,200000,1,46,0,0,0,0,,0,,,3,0,
8560,HOUSE,HOUSE,350000,4,,1,0,0,0,,0,,470,4,0,JUST_RENOVATED
4860,HOUSE,HOUSE,159500,2,110,1,0,0,1,,1,70,113,3,0,TO_BE_DONE_UP
9320,HOUSE,HOUSE,389000,3,261,1,0,0,1,65,1,540,770,2,0,AS_NEW
9700,APARTMENT,DUPLEX,289000,2,140,1,0,0,1,35,0,,,2,0,
2850,HOUSE,HOUSE,385000,3,180,1,0,0,1,,0,,192,2,0,AS_NEW
9000,HOUSE,HOUSE,375000,3,120,0,0,0,1,,0,,132,2,0,TO_RENOVATE
9220,APARTMENT,APARTMENT,254000,3,100,1,0,0,1,9,0,,,2,0,
1020,APARTMENT,APARTMENT,259000,3,100,1,0,0,1,,0,,,2,0,JUST_RENOVATED
7190,HOUSE,MANSION,395000,4,290,1,0,0,1,,1,,470,3,0,GOOD
4700,HOUSE,COUNTRY_COTTAGE,275000,3,287,1,0,0,0,,1,4000,4345,4,0,GOOD
6600,HOUSE,HOUSE,215000,3,,1,0,0,0,,1,,1800,4,0,GOOD
1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12,0,,,4,0,
1050,APARTMENT,APARTMENT,365000,2,90,1,0,0,1,7,0,,,2,0,AS_NEW
8490,HOUSE,HOUSE,349000,3,170,1,0,0,1,23,1,310,434,,0,GOOD
1150,HOUSE,VILLA,650000,3,172,1,0,0,1,20,1,100,277,3,0,GOOD
